method,n,d,m,radius,avg_nbrs,build_s,query_s,q_per_s
snn_numba(f64),100000,100,500,0.9813,100.0,0.62087740700008,0.5012511060003817,997.5040334367247
snn_numba(f32),100000,100,500,0.9813,100.0,0.6103251240001555,0.27152778199979366,1841.4321964313028
snn_cpp(f64),100000,100,500,0.9813,100.0,1.5948848480002198,3.2010004700005084,156.20116419411852
snn_cpp(f32),100000,100,500,0.9813,100.0,1.275365967999278,4.633782240999608,107.90321469490097
sklearn_KDTree,100000,100,500,0.9813,100.0,2.1557561219997297,0.9234052639994843,541.4740628988652
snn_numba(f64),10000,50,500,0.695,50.0,0.19771088900051836,0.011951135000344948,41837.03054024312
snn_numba(f32),10000,50,500,0.695,50.0,0.4519878310002241,0.016943246000664658,29510.283919644782
snn_cpp(f64),10000,50,500,0.695,50.0,0.5292722359999971,0.1657574079999904,3016.4564349367056
snn_cpp(f32),10000,50,500,0.695,50.0,0.04955288100063626,0.13769129299998895,3631.3116763311978
sklearn_KDTree,10000,50,500,0.695,50.0,0.03330699699927209,0.1160508379998646,4308.4566093403255
snn_numba(f64),50000,50,500,0.6342,50.0,0.2885914460002823,0.07883767200019065,6342.145668618816
snn_numba(f32),50000,50,500,0.6342,50.0,0.2387082739996913,0.04014860799998132,12453.731895268513
snn_cpp(f64),50000,50,500,0.6342,50.0,0.3859100000008766,0.5042185029997199,991.6335815234407
snn_cpp(f32),50000,50,500,0.6342,50.0,0.16733179299990297,0.4078561329997683,1225.9224749730172
sklearn_KDTree,50000,50,500,0.6342,50.0,0.3479117799997766,0.5131136469999547,974.4429970307225
snn_numba(f64),200000,50,500,0.5999,50.0,0.33835976899990783,0.29417604399986885,1699.6625326847584
snn_numba(f32),200000,50,500,0.5999,50.0,0.2886598690001847,0.1873000409996166,2669.5135640735043
snn_cpp(f64),200000,50,500,0.5999,50.0,1.2882859299998017,2.0368838309996136,245.4730075375098
snn_cpp(f32),200000,50,500,0.5999,50.0,0.8347284459996445,1.7963330330003373,278.34482293345775
sklearn_KDTree,200000,50,500,0.5999,50.0,1.0113466989996596,1.111339584000234,449.90748750284297
snn_numba(f64),100000,2,500,0.0099,50.0,0.013120385000547685,0.0009666129999459372,517270.09674809367
snn_numba(f32),100000,2,500,0.0099,50.0,0.012530375000096683,0.000861038000039116,580694.4640971543
snn_cpp(f64),100000,2,500,0.0099,50.0,0.041539660999660555,0.2015607369994541,2480.6418523928805
snn_cpp(f32),100000,2,500,0.0099,50.0,0.03993727299985039,0.12121691099946474,4124.837003990374
sklearn_KDTree,100000,2,500,0.0099,50.0,0.022529140999722586,0.001986977000342449,251638.5443383726
snn_numba(f64),100000,10,500,0.1774,50.0,0.04029682199961826,0.009644601000218245,51842.47642683048
snn_numba(f32),100000,10,500,0.1774,50.0,0.03801942700010841,0.012114465000195196,41272.97408444728
snn_cpp(f64),100000,10,500,0.1774,50.0,0.10700276199986547,0.3305507429995487,1512.6270643435905
snn_cpp(f32),100000,10,500,0.1774,50.0,0.08554002500022762,0.24229604199990717,2063.5912822719224
sklearn_KDTree,100000,10,500,0.1774,50.0,0.08543674100019416,0.05549135399996885,9010.412685195619
snn_numba(f64),100000,25,500,0.3821,50.0,0.0544244910006455,0.04143834499973309,12066.118953428777
snn_numba(f32),100000,25,500,0.3821,50.0,0.03254732799996418,0.024172094999812543,20685.008891611487
snn_cpp(f64),100000,25,500,0.3821,50.0,0.31570240699966234,0.5944265029993403,841.1468827131937
snn_cpp(f32),100000,25,500,0.3821,50.0,0.4051639769995745,0.9707066529999793,515.0886711806751
sklearn_KDTree,100000,25,500,0.3821,50.0,0.425760776000061,0.4463396660003127,1120.2230903664513
snn_numba(f64),100000,200,500,1.4271,50.0,0.42327377700075886,0.9020509629999651,554.2924075344281
snn_numba(f32),100000,200,500,1.4271,50.0,0.3471874269998807,0.39581742500013206,1263.208662427717
snn_cpp(f64),100000,200,500,1.4271,50.0,4.43857675199979,3.8753750820005735,129.01976955012222
snn_cpp(f32),100000,200,500,1.4271,50.0,1.695223882999926,3.4443480279996948,145.1653537724453
sklearn_KDTree,100000,200,500,1.4271,50.0,1.250132031999783,1.5702723579997837,318.4160998904044
snn_numba(f64),100000,500,500,2.372,50.0,1.1688442160002523,2.4232164320001175,206.33732645469934
snn_numba(f32),100000,500,500,2.372,50.0,0.7784881039997344,1.3942716789997576,358.6101672514048
snn_cpp(f64),100000,500,500,2.372,50.0,7.637873508000666,12.885077329000524,38.80457891196717
snn_cpp(f32),100000,500,500,2.372,50.0,5.097092549999616,11.274496727000042,44.34787752455553
sklearn_KDTree,100000,500,500,2.372,50.0,3.587433556999713,3.8735412220003127,129.08085169203335
